data,fechamento,abertura,maxima,minima,volume
2020-06-01,117.3248,115.8553,117.8347,115.0655,180390
2020-06-08,117.5648,117.3248,121.9135,115.3654,382701
2020-06-15,120.9638,117.5648,121.2637,115.2555,831021
2020-06-22,123.8629,121.5036,124.2628,121.5036,295100
2020-06-29,125.9623,123.9629,130.8008,121.4936,353468
2020-07-06,128.0616,126.0622,128.4315,123.9629,413072
2020-07-13,127.0719,128.0616,128.0616,124.8626,297223
2020-07-20,126.802,127.0719,127.9617,125.3624,300093
2020-07-27,126.0122,126.952,127.9217,125.1725,348556
2020-08-03,124.5327,125.7623,126.2822,123.2631,299408
2020-08-10,126.832,124.9426,126.962,124.9426,321331
2020-08-17,130.0011,126.862,130.7008,126.862,279455
2020-08-24,128.0016,130.0011,130.6409,127.5918,345849
2020-08-31,128.4315,128.7414,129.981,126.2022,353338
2020-09-07,129.5612,128.4315,130.0011,128.4315,243587
2020-09-14,128.8614,129.5612,129.9611,127.9617,258816
2020-09-21,129.4612,128.9614,130.151,126.962,245474
2020-09-28,129.6012,129.5112,134.9596,128.4615,332262
2020-10-05,132.0904,129.9211,132.9602,128.9614,272944
2020-10-12,132.4603,132.0904,133.2601,130.9808,187063
2020-10-19,135.1095,132.9602,136.6291,132.5303,234470
2020-10-26,128.9614,135.1095,135.9593,123.353,320131
2020-11-02,129.9611,128.9614,129.9611,127.0819,229529
2020-11-09,128.9514,129.9611,131.6606,126.972,320645
2020-11-16,128.7914,128.8714,129.7011,127.7317,217916
2020-11-23,128.6414,128.7914,129.4612,127.9617,187192
2020-11-30,122.9532,128.6414,129.3313,122.5033,380584
2020-12-07,121.6136,122.9632,125.3125,120.5339,391670
2020-12-14,120.6638,121.6136,121.9535,119.8641,376556
2020-12-21,120.144,120.6638,121.7635,119.5742,316887
2020-12-28,123.9629,120.214,124.2128,119.8841,282677
2021-01-04,120.014,123.363,123.463,119.9241,644071
2021-01-11,122.7132,120.104,122.8932,119.9241,320999
2021-01-18,120.9638,122.8132,122.9632,120.194,325133
2021-01-25,121.2637,120.9638,121.9635,120.164,252276
2021-02-01,123.313,120.9638,123.383,120.264,428107
2021-02-08,122.1634,123.2631,123.463,122.1634,302105
2021-02-15,122.0634,122.1634,122.4133,121.4836,184099
2021-02-22,120.4639,122.0634,122.1534,118.9644,399442
2021-03-01,117.3548,119.8941,120.4239,113.2861,530057
2021-03-08,115.9653,117.3548,117.6248,114.0058,272584
2021-03-15,113.0061,115.9453,115.9453,112.8662,292497
2021-03-22,113.9559,113.0061,114.7856,112.2164,304194
2021-03-29,115.9153,114.0658,116.925,113.9059,191129
2021-04-05,115.9952,115.9153,116.755,114.9656,244778
2021-04-12,114.3657,115.9952,116.3251,113.2361,324722
2021-04-19,115.1455,114.3757,115.4554,113.9659,172025
2021-04-26,115.9653,115.1455,115.9653,114.2558,272044
2021-05-03,115.1855,115.9253,115.9253,114.4657,300439
2021-05-10,114.9656,115.1855,115.4154,114.8056,218763
2021-05-17,112.4163,114.9656,115.1055,111.9665,254163
2021-05-24,112.9762,112.5363,113.6659,111.9665,276327
2021-05-31,114.3557,113.466,114.6856,112.9562,201734
2021-06-07,113.9259,114.7656,114.8256,112.9861,251628
2021-06-14,111.8665,113.9958,114.2658,111.5866,265452
2021-06-21,104.9486,112.1764,112.4563,100.11,472381
2021-06-28,105.4684,103.8989,106.898,100.4699,353245
2021-07-05,109.7571,105.7683,110.107,105.7683,181412
2021-07-12,112.2864,109.7671,113.436,108.5675,249408
2021-07-19,111.9665,112.3263,113.466,111.9665,162379
2021-07-26,109.7171,112.2164,112.8462,109.4672,236510
2021-08-02,106.708,109.7071,109.7171,105.9682,191164
2021-08-09,102.9691,106.708,106.948,102.1194,258747
2021-08-16,103.7189,102.9691,104.7686,101.1497,271697
2021-08-23,104.6586,104.1188,104.9386,103.469,197226
2021-08-30,102.7992,104.6686,105.7383,102.7192,243453
2021-09-06,100.6698,102.7992,103.9688,100.27,269141
2021-09-13,100.4199,101.2597,101.7795,98.0806,416599
2021-09-20,100.23,100.4099,100.6199,98.9903,221441
2021-09-27,101.0697,100.28,102.8492,100.19,208882
2021-10-04,101.1297,101.1697,102.6692,100.06,210095
2021-10-11,102.8092,101.1297,102.9392,100.8698,152677
2021-10-18,101.6695,102.7992,103.7089,100.9697,196548
2021-10-25,98.2306,101.6695,101.7495,97.5708,242910
2021-11-01,95.6713,98.4205,98.8704,93.572,197112
2021-11-08,92.6722,95.5814,95.6114,92.1824,230911
2021-11-15,90.123,92.6722,92.6722,89.0033,332715
2021-11-22,88.7734,90.123,90.4329,86.2342,321212
2021-11-29,89.963,88.8734,91.8625,87.1239,450032
2021-12-06,97.2709,89.973,98.2306,89.973,253594
2021-12-13,96.2612,97.2709,97.7207,94.0218,265917
2021-12-20,97.0109,96.3011,97.0209,94.3217,174605
2021-12-27,102.3693,97.0209,102.4093,97.0209,166036
2022-01-03,96.891,101.9694,103.629,96.1712,218213
2022-01-10,97.7707,96.891,97.8707,96.0112,294427
2022-01-17,101.4696,97.7607,102.2194,97.3008,249909
2022-01-24,98.4205,101.2697,101.2697,97.7707,253423
2022-01-31,97.0809,98.4805,99.4702,96.821,162913
2022-02-07,96.671,97.0809,97.9207,96.1012,148654
2022-02-14,96.821,96.671,97.9207,96.4711,177930
2022-02-21,92.0124,96.781,97.1209,90.8428,342119
2022-02-28,97.2209,92.0124,97.2209,91.3526,236893
2022-03-07,101.5296,97.2209,101.7695,95.0215,465087
2022-03-14,99.9401,101.3696,103.9589,99.1303,1029535
2022-03-21,98.2506,100.3699,100.9597,95.4714,363024
2022-03-28,96.911,98.2506,98.4705,95.9712,198664
2022-04-04,95.8413,96.9809,97.3808,95.4714,221449
2022-04-11,98.0606,95.9712,98.0606,95.9712,152217
2022-04-18,98.6704,98.0606,99.1703,98.0606,148023
2022-04-25,97.9207,98.8704,99.3202,97.4208,175599
2022-05-02,94.3217,97.6507,97.6507,94.0318,192831
2022-05-09,94.2118,94.3417,94.9116,93.6219,165489
2022-05-16,95.3814,94.2018,96.3111,94.0718,159959
2022-05-23,94.3717,95.5214,95.9512,94.0818,189392
2022-05-30,97.8507,94.6516,98.4105,94.4817,236468
2022-06-06,95.2615,97.8307,97.8307,95.1915,166842
2022-06-13,95.9712,95.2615,96.9709,93.8719,218790
2022-06-20,94.9516,95.7513,95.9613,94.0218,268680
2022-06-27,93.2021,94.9516,95.7713,92.4723,182966
2022-07-04,95.7113,93.2021,95.7713,93.0921,274149
2022-07-11,95.9712,95.7113,96.4611,94.9815,211591
2022-07-18,95.3314,95.9812,96.851,95.2515,147197
2022-07-25,97.5508,95.3314,97.9706,93.352,182968
2022-08-01,96.1112,96.911,97.5508,94.8616,174202
2022-08-08,99.4902,96.1112,99.9101,95.7813,218157
2022-08-15,105.2885,99.7301,105.4684,99.5302,265855
2022-08-22,108.7474,105.3684,108.9673,105.2785,173251
2022-08-29,105.4684,108.7474,108.9174,104.2688,242275
2022-09-05,106.5481,105.7583,108.1176,105.3684,202156
2022-09-12,109.6072,106.5381,109.6072,105.7083,240824
2022-09-19,109.1373,108.9074,109.5572,107.3278,179304
2022-09-26,109.8371,109.3172,110.3869,107.2279,209773
2022-10-03,107.5078,109.0973,109.8571,106.9879,152290
2022-10-10,108.6474,107.6278,108.9673,107.0679,95727
2022-10-17,108.8374,108.6474,108.9574,107.7577,142404
2022-10-24,108.3675,108.8374,108.9673,107.9876,157707
2022-10-31,107.0579,107.1679,108.1776,106.0182,141317
2022-11-07,102.8392,107.0579,107.2979,100.9597,173814
2022-11-14,100.2899,102.8392,103.6889,99.0203,169030
2022-11-21,98.2506,100.2,100.8898,97.9706,141026
2022-11-28,100.5599,98.2506,101.3196,97.9906,229655
2022-12-05,98.7204,100.5799,101.8195,98.5805,135896
2022-12-12,97.0709,98.7704,99.7701,95.0715,207083
2022-12-19,98.3005,97.0609,98.9604,96.841,228933
