data,fechamento,abertura,maxima,minima,volume
2020-06-01,105.6724,103.9457,105.7711,102.9689,102958
2020-06-08,105.9684,105.6033,109.3132,104.1036,257661
2020-06-15,104.8929,105.0311,107.922,100.6996,250540
2020-06-22,101.8737,104.9028,105.4159,101.6271,196846
2020-06-29,102.6137,102.1303,105.0607,100.8871,230549
2020-07-06,102.2191,102.6137,103.6004,101.4495,237773
2020-07-13,99.6044,102.2191,103.5017,99.1801,248869
2020-07-20,100.3444,99.6044,102.4164,95.7761,263249
2020-07-27,100.8377,100.3444,102.5151,99.2097,210024
2020-08-03,102.5743,101.0055,102.6137,99.5846,232629
2020-08-10,108.6324,102.6137,110.2604,102.594,479582
2020-08-17,107.9911,108.6324,109.3625,106.5604,293934
2020-08-24,106.4124,108.0503,109.8164,105.6823,267473
2020-08-31,106.5604,106.5604,107.3497,103.6004,251303
2020-09-07,107.5471,106.5604,108.3364,105.8697,168641
2020-09-14,108.0404,107.5471,108.0404,107.0833,186016
2020-09-21,104.5772,108.0404,108.0404,103.6004,175477
2020-09-28,105.4751,104.5772,105.4751,102.6137,173124
2020-10-05,106.5604,105.5343,106.6097,104.2911,163816
2020-10-12,108.5929,106.5604,108.8594,106.3631,265158
2020-10-19,112.6778,108.5535,113.6842,108.3364,279310
2020-10-26,107.5471,112.8751,113.4178,103.7681,284773
2020-11-02,110.3394,107.5471,110.5071,106.5505,145233
2020-11-09,111.0004,110.3591,112.9639,110.3394,169782
2020-11-16,106.5505,111.0498,111.6911,106.1164,250534
2020-11-23,108.5436,106.9649,109.4218,106.5801,218831
2020-11-30,111.3162,108.5436,111.7898,102.9985,200456
2020-12-07,111.2964,111.3162,112.2831,111.0004,158572
2020-12-14,112.954,111.2964,112.9738,109.5796,159886
2020-12-21,113.3586,112.954,113.694,111.0004,114906
2020-12-28,115.174,113.3586,116.3679,112.0956,146607
2021-01-04,116.141,115.174,118.4005,114.2071,235363
2021-01-11,113.5559,116.141,117.4138,112.7863,216027
2021-01-18,115.5983,113.5559,117.3546,112.8948,178126
2021-01-25,112.8948,115.5983,116.4271,112.8258,168918
2021-02-01,111.9772,112.3028,112.8356,109.8658,315410
2021-02-08,111.9871,111.8884,112.4607,111.2767,309676
2021-02-15,110.0532,111.9871,111.9871,108.8889,127662
2021-02-22,106.9452,110.0532,110.2802,105.998,317394
2021-03-01,102.6137,106.9452,107.5076,101.1337,292211
2021-03-08,102.1007,102.6137,103.5017,101.5284,194020
2021-03-15,102.7913,102.1007,106.886,101.6961,214907
2021-03-22,102.1204,102.6137,104.2911,101.5284,258993
2021-03-29,105.2777,102.1401,106.0473,101.8737,140283
2021-04-05,106.2151,105.2777,106.5505,103.7484,172608
2021-04-12,105.5737,106.2151,107.3596,105.0804,175805
2021-04-19,104.7943,105.5737,105.9388,104.5871,153698
2021-04-26,104.5871,104.7943,105.0705,102.0415,205539
2021-05-03,104.5476,104.5871,104.5871,102.6137,180539
2021-05-10,103.4031,104.0937,104.6463,101.6567,200767
2021-05-17,102.7124,103.4031,103.6991,101.6567,163622
2021-05-24,103.4919,102.6137,103.5905,99.111,208143
2021-05-31,105.6329,103.5017,106.2841,101.1831,157717
2021-06-07,105.3863,105.6329,107.5471,104.5673,162210
2021-06-14,104.0444,105.3863,105.7217,101.6271,158557
2021-06-21,98.7953,103.6497,105.0804,96.9009,249408
2021-06-28,101.6369,97.118,103.2847,93.8324,224611
2021-07-05,101.854,101.5481,103.6004,101.035,115816
2021-07-12,105.0804,102.1204,107.1524,101.8935,232538
2021-07-19,100.6207,105.8697,106.1657,99.4366,215487
2021-07-26,101.1337,101.4297,102.1204,100.1569,185116
2021-08-02,101.6764,101.1337,101.7257,100.4924,179896
2021-08-09,101.2916,101.6567,102.4756,100.9364,156977
2021-08-16,98.9828,101.3311,101.4791,97.039,284051
2021-08-23,101.035,98.9828,101.706,98.667,190379
2021-08-30,100.3444,100.9265,102.5151,100.2951,122374
2021-09-06,101.0449,100.3444,101.3508,99.3577,99107
2021-09-13,100.67,100.9857,101.6271,99.7524,135484
2021-09-20,96.4372,100.1076,100.1076,93.8324,293763
2021-09-27,95.6972,96.6937,98.223,92.0366,317308
2021-10-04,97.5324,95.6873,97.631,94.7401,171804
2021-10-11,101.5284,97.3548,101.6271,97.0193,114610
2021-10-18,99.6537,101.5284,103.3636,98.1737,273361
2021-10-25,97.3844,99.6537,100.6799,96.1116,162198
2021-11-01,95.8057,97.483,98.0849,95.2137,127969
2021-11-08,94.8585,95.8057,97.0588,92.9444,172993
2021-11-15,92.7964,94.8585,95.3124,91.2078,157765
2021-11-22,85.8206,92.599,92.7076,84.755,208546
2021-11-29,83.867,85.8403,89.787,82.3969,268544
2021-12-06,90.0731,84.2617,91.8294,84.015,225655
2021-12-13,93.2897,90.0731,93.6942,88.9385,165482
2021-12-20,93.1614,93.2897,94.8684,90.971,129013
2021-12-27,98.1046,93.1614,98.1046,92.3721,140443
2022-01-03,91.7604,96.8022,98.3908,90.3395,171278
2022-01-10,92.3228,91.7604,93.487,88.4057,243953
2022-01-17,91.4545,92.3129,95.707,90.0929,223482
2022-01-24,92.3524,91.7604,93.6942,90.7835,197739
2022-01-31,95.2729,92.3524,97.4534,91.9873,273503
2022-02-07,94.7204,95.263,95.6084,93.635,170311
2022-02-14,92.303,94.6118,94.7204,90.8428,245189
2022-02-21,90.1817,91.5433,91.8492,87.3203,192494
2022-02-28,89.343,90.1817,90.4481,89.0075,93073
2022-03-07,89.5206,89.343,90.1126,88.0406,172395
2022-03-14,89.3923,89.5206,89.935,87.863,144560
2022-03-21,90.5171,89.3923,91.2275,88.6326,153074
2022-03-28,97.0686,90.5171,97.5225,90.379,252030
2022-04-04,97.5324,97.0686,98.6473,96.6049,154770
2022-04-11,98.7164,97.5324,98.7164,96.447,148154
2022-04-18,98.6078,98.0652,99.6636,98.0652,140191
2022-04-25,97.927,98.6078,99.4958,97.187,159642
2022-05-02,95.115,97.927,98.667,94.9572,167418
2022-05-09,96.6937,95.115,96.8318,93.339,146776
2022-05-16,95.7662,96.6937,97.187,94.9374,135972
2022-05-23,95.7564,96.1017,96.2004,94.819,114970
2022-05-30,96.8614,95.855,98.1244,95.1742,233052
2022-06-06,96.003,96.8614,98.1441,95.8057,171153
2022-06-13,95.6084,96.003,96.6444,94.227,163957
2022-06-20,94.4145,95.0854,95.6774,93.6054,132573
2022-06-27,92.8654,94.6217,94.9177,92.1846,164132
2022-07-04,90.9217,93.0825,93.4377,89.7969,186489
2022-07-11,91.9577,90.9217,93.2798,90.379,161156
2022-07-18,93.7041,91.9577,94.7204,90.8921,140619
2022-07-25,94.3553,93.931,95.2137,93.27,134321
2022-08-01,95.5294,94.3553,95.707,90.7441,247418
2022-08-08,98.2625,95.7662,98.4796,95.5294,157241
2022-08-15,101.6271,98.3612,103.6004,98.075,211951
2022-08-22,100.9364,101.6271,102.4559,99.5057,159969
2022-08-29,103.9951,100.9364,104.0937,100.2161,290674
2022-09-05,104.6857,104.0543,105.4159,102.3868,151693
2022-09-12,103.8172,104.6759,106.0868,103.7578,181956
2022-09-19,102.9064,103.0945,104.9358,102.6589,187047
2022-09-26,102.5203,102.9559,103.8964,101.966,124804
2022-10-03,102.3817,102.5599,102.9559,101.9462,161118
2022-10-10,102.9064,102.4114,103.441,102.3817,127570
2022-10-17,102.946,103.2232,103.4806,102.065,151636
2022-10-24,102.5599,102.946,102.9559,101.966,128877
2022-10-31,101.669,102.5401,102.9361,98.9763,165830
2022-11-07,99.9761,101.7878,103.837,99.887,179157
2022-11-14,100.4513,100.0553,102.7678,98.3922,140780
2022-11-21,98.0853,99.7088,99.986,97.1646,114916
2022-11-28,99.7781,98.0853,100.3424,95.2639,199565
2022-12-05,98.808,99.788,102.065,98.511,149180
2022-12-12,94.0463,98.808,99.4911,94.0463,179825
2022-12-19,94.3433,93.5612,97.9764,92.9573,248782
2022-12-26,94.7194,94.8184,96.9964,93.3533,231343
2023-01-02,93.0167,94.7392,95.3332,92.5613,266516
2023-01-09,97.9269,93.0167,97.9566,92.9969,219902
2023-01-16,96.2737,97.9269,98.8773,95.0461,177077
2023-01-23,94.6403,96.2737,97.3131,93.9473,232450
2023-01-30,94.957,94.6403,96.2836,94.0562,223731
2023-02-06,97.0162,94.957,97.0162,94.6996,183377
2023-02-13,96.8479,97.0162,97.3131,95.8282,198472
2023-02-20,97.0162,96.8479,98.2932,96.4915,100413
2023-02-27,98.6991,97.2735,98.8278,96.0262,213014
2023-03-06,98.2734,98.6991,100.4909,97.224,186768
2023-03-13,96.6202,98.2734,98.9961,96.2836,195490
2023-03-20,95.4817,97.1944,97.1944,94.4423,208480
2023-03-27,94.5314,95.5312,96.3529,92.9078,276296
2023-04-03,98.2338,94.5314,98.709,93.2048,212501
2023-04-10,97.8576,98.2536,98.9862,96.9271,171786
2023-04-17,98.6199,98.2536,99.4812,98.0061,151898
2023-04-24,102.1145,98.6892,106.8861,98.016,284201
2023-05-01,100.976,102.1145,103.2925,99.5604,182750
2023-05-08,102.6886,101.0849,102.7084,99.986,186617
2023-05-15,101.273,102.6886,104.1736,100.6889,215528
2023-05-22,100.8498,101.3225,102.5698,98.7486,345157
2023-05-29,101.5447,100.8697,102.0311,99.7977,318180
2023-06-05,101.1576,101.5447,101.7928,100.5521,239683
2023-06-12,103.4803,101.1576,103.7284,100.7506,386473
2023-06-19,103.2321,103.1428,103.7185,102.438,260319
2023-06-26,104.7111,103.2321,104.8203,101.7432,283451
2023-07-03,103.8319,104.2744,105.0188,102.8354,361081
2023-07-10,103.8319,103.8319,104.6291,103.4333,382863
2023-07-17,103.7322,103.9614,104.4298,103.1045,343168
2023-07-24,103.533,103.7223,104.37,103.234,397385
2023-07-31,108.5053,104.0113,109.1132,103.5728,619807
2023-08-07,109.5018,108.6149,110.558,107.8377,411989
2023-08-14,108.1566,109.3324,110.1794,106.622,371633
2023-08-21,108.1167,108.1167,108.6149,106.6917,514230
2023-08-28,111.4349,108.1167,111.973,107.6185,398110
2023-09-04,114.2549,111.4549,114.4443,111.4549,503204
2023-09-11,109.9203,114.3944,114.5838,109.3224,1708840
2023-09-18,110.5879,110.5979,112.4015,109.2726,741119
2023-09-25,110.3488,110.7773,111.0762,109.1132,457827
2023-10-02,110.6975,110.6079,113.099,110.3488,612157
2023-10-09,111.0463,110.7075,111.1559,109.9402,303030
2023-10-16,110.9168,111.0563,112.6008,110.1096,377500
2023-10-23,108.0171,110.9168,111.5844,107.738,516488
2023-10-30,110.3089,108.2961,110.6079,107.9274,335512
2023-11-06,112.4115,110.3189,112.5809,110.3089,374167
2023-11-13,113.099,112.262,114.0756,112.1026,358748
2023-11-20,110.6079,112.5908,112.7802,109.7011,416324
2023-11-27,113.1787,110.7075,113.9959,109.6114,582714
2023-12-04,111.2456,113.1787,113.1987,110.4385,454931
2023-12-11,111.8534,111.1858,114.8927,110.6079,625288
2023-12-18,117.4337,112.4513,117.4636,111.1559,711183
2023-12-25,116.7062,117.4337,121.1704,115.6898,385825
2024-01-01,114.4841,116.7062,119.4764,112.8798,651860
2024-01-08,115.5,114.7133,116.3,114.55,654378
2024-01-15,114.9,115.5,116.19,114.01,629648
2024-01-22,114.79,114.9,115.6,114.5,570456
2024-01-29,118.38,114.67,118.9,114.42,616890
2024-02-05,118.3,118.38,118.79,116.23,486391
2024-02-12,118.68,118.3,119.1,117.99,262753
2024-02-19,118.23,117.5,118.43,117.01,412527
2024-02-26,118.3,118.25,118.68,117.04,481000
2024-03-04,118.49,118.3,118.63,117.05,415263
2024-03-11,118.29,118.48,118.56,116.93,485868
2024-03-18,115.9921,117.682,118.0819,115.9021,530591
2024-03-25,116.24,116.09,116.4,115.85,500298
2024-04-01,116.8,116.25,117.9,116.24,516066
2024-04-08,116.02,116.88,117.0,115.9,574663
2024-04-15,115.79,116.02,116.24,114.7,868802
2024-04-22,115.9,115.87,116.15,115.39,1070069
2024-04-29,116.18,115.91,118.5,115.57,610710
2024-05-06,116.69,116.24,117.18,116.21,450561
2024-05-13,117.22,116.69,117.4,115.73,728763
2024-05-20,115.65,116.3,116.93,115.01,649763
2024-05-27,113.87,115.65,115.8,113.3,631442
2024-06-03,113.15,113.93,114.73,112.86,747865
2024-06-10,110.86,113.15,113.5,109.01,776550
2024-06-17,114.0,110.85,114.0,109.28,1070330
2024-06-24,112.75,112.15,113.0,111.04,595099
2024-07-01,113.98,112.75,113.98,109.4,814499
2024-07-08,113.9,113.95,114.08,113.0,564874
2024-07-15,113.0,113.9,114.17,112.61,539926
2024-07-22,112.38,113.15,113.5,112.11,500770
2024-07-29,112.75,112.51,113.39,110.83,592433
2024-08-05,112.65,112.24,113.78,111.36,585536
2024-08-12,112.97,112.99,113.46,112.62,552992
2024-08-19,111.66,112.05,112.57,110.7,645241
2024-08-26,112.0,111.66,112.5,111.6,545355
2024-09-02,112.41,112.46,112.79,111.9,553630
2024-09-09,112.0,112.4,112.65,111.9,619189
2024-09-16,107.0,112.0,112.47,107.0,1110082
2024-09-23,107.83,108.41,109.12,106.71,1219525
2024-09-30,107.65,108.0,108.39,106.22,749375
2024-10-07,105.1,107.89,108.25,104.81,739878
2024-10-14,106.6,105.22,106.97,105.21,581772
2024-10-21,103.41,106.0,106.08,102.77,688919
2024-10-28,103.41,103.58,104.94,103.01,671569
2024-11-04,104.14,103.51,104.5,102.9,593430
2024-11-11,104.0,104.3,104.44,102.85,495728
2024-11-18,103.5,103.39,104.38,102.9,498968
2024-11-25,100.51,103.61,103.99,99.65,814219
2024-12-02,96.92,101.24,101.24,90.32,1292515
2024-12-09,97.65,97.7,99.83,95.15,845887
2024-12-16,95.17,97.81,98.98,91.09,1042958
2024-12-23,99.37,96.11,101.76,96.11,527519
2024-12-30,97.73,100.19,101.18,96.96,483027
2025-01-06,98.19,98.53,99.73,96.85,587756
2025-01-13,96.06,98.19,99.65,95.6,759557
2025-01-20,95.01,95.06,96.95,94.85,625479
2025-01-27,97.5,95.51,97.98,95.01,612019
2025-02-03,97.94,97.61,98.07,96.5,621580
2025-02-10,98.1,97.98,98.27,97.75,527474
2025-02-17,97.14,98.27,98.99,96.1,741958
2025-02-24,95.25,97.37,97.5,94.9,863397
2025-03-03,96.6,95.25,97.18,95.25,391224
2025-03-10,97.37,97.2,97.67,95.53,609438
2025-03-17,98.5,97.5,99.69,97.45,936497
2025-03-24,101.2,99.49,101.5,99.21,526014
2025-03-31,102.7,101.21,103.94,101.21,541990
2025-04-07,101.3,102.0,102.42,99.12,492411
2025-04-14,104.72,101.6,104.9,101.16,487668
2025-04-21,106.81,104.72,106.89,103.67,588514
2025-04-28,106.9,106.78,107.0,106.0,358174
2025-05-05,106.84,106.9,107.22,104.17,487931
2025-05-12,106.51,106.91,106.98,105.41,523466
2025-05-19,104.8,106.69,106.74,103.75,545947
2025-05-26,104.6,104.22,104.94,103.65,491288
2025-06-02,103.29,104.89,104.94,102.7,550879
2025-06-09,104.18,103.29,104.21,101.8,588732
2025-06-16,101.19,104.18,104.79,101.19,567643
2025-06-23,103.2,101.71,103.62,100.6,548121
2025-06-30,105.44,103.2,105.5,102.55,451002
2025-07-07,104.0,105.38,105.48,102.96,463769
